id,title,notes,organization,formats,tags,wfs_url,download_url,has_wfs,license,metadata_modified,predicted_relevant,relevance_score
regional-geochemical-survey-areas,Regional Geochemical Survey Areas,"The joint federal-provincial Regional Geochemical Surveys (RGS) have been carried out in British Columbia since 1976 as part of the National Geochemical Reconnaissance (NGR) program to aid exploration and development of mineral resources. The British Columbia Geological Survey maintains provincial geochemical databases capturing information from multi-media surveys. This 2017 release is the most current index of 73 regional geochemical survey areas, represented by 112 publications, covering abou",BC Geological Survey,"KML, CSV, WMS, ZIP","GeoFile, digital data, geochemistry, geology, mineral exploration, mineral potential, regional geochemical survey, stream geochemistry, survey index, water geochemistry",,,False,Access Only,2023-06-29T14:18:50.561448,1,0.87
regional-geochemical-survey-data,Regional Geochemical Survey Data,2020 DATABASE (Excel):  The joint federal-provincial Regional Geochemical Surveys (RGS) have been carried out in British Columbia since 1976 as part of the National Geochemical Reconnaissance (NGR) program to aid exploration and development of mineral resources. The British Columbia Geological Survey (BCGS) maintains provincial geochemical databases capturing information from multi-media surveys. This 2020 release of the most current and complete province-wide geochemical data set collected unde,BC Geological Survey,"KML, WMS, XLSX","RGS, RGS database, digital data, geochemistry, geology, lake sediment, mineral exploration, mineral potential, moss mat-trapped drainage sediment, regional geochemical survey, regional geochemical survey database, stream geochemistry, stream sediment, water geochemistry",,,False,Open Government Licence - British Columbia,2023-06-29T14:18:38.139118,1,0.86
regional-geochemical-lake-surveys,Regional Geochemical Lake Surveys,"In parts of British Columbia where topography is subdued, surface drainage is poor and there is an abundance of lakes, lake sediment and water surveys are a valuable exploration tool for delineating regional geochemical patterns and detecting anomalous metal concentrations related to mineral occurrences.",BC Geological Survey,ZIP,"RGS, exploration, geochemistry, lake, mineral potential, till surveys",,,False,Access Only,2022-06-09T23:46:05.093163,1,0.86
bc-geological-survey-publications-catalogue,BC Geological Survey Publications Catalogue,"Since its inception in 1895, the British Columbia Geological Survey has created, delivered, and archived geoscience data. The British Columbia Geological Survey (BCGS) Publications Catalogue is an index of over 5580 publications, articles and databases of the BCGS, Petroleum Geoscience, and Geoscience BC.  Publications form a key element of the products of the Survey and include an archive, dating back to 1874.  The catalogue is searchable through the web, Google and the BC Data Catalogue.  The ",BC Geological Survey,"HTML, CSV","Annual Reports, Bulletins, CGKN, Databases, Exploration in B.C., GeoFile, Geology, Geoscience Maps, Information Circulars, Maps, Mineral Exploration Review, Mineral Potential Maps, Papers, Preliminary Maps, Surficial geology, bedrock geology, geoscience data, open file",,,False,Access Only,2022-06-09T23:33:31.833691,1,0.84
manual-snow-survey-locations,Manual Snow Survey Site Locations,Manual snow survey (active & inactive) locations as part of the BC Snow Survey program. ,Environmental Monitoring and Analysis Branch,"KML, WMS, MULTIPLE","hydrology, snow, snow survey",,,False,Open Government Licence - British Columbia,2026-03-21T12:42:19.614161,1,0.835
snow-survey-administrative-basin-areas,Snow Survey Administrative Basin Areas,"Snow survey administrative basin areas, which are components of the BC snow survey network. Basin codes are used as basis of snow survey station names, and for some reporting purposes.",Environmental Monitoring and Analysis Branch,"KML, WMS, MULTIPLE","hydrology, snow, snow survey",,,False,Open Government Licence - British Columbia,2023-06-29T14:12:30.794154,1,0.83
regional-geochemical-stream-water-sampling,Regional Geochemical Stream Water Sampling,"Stream water samples are collected as part of the Regional Geochemical Survey (RGS) program, which covers over 80% of British Columbia. An additional 4332 stream and lake water samples were analyzed by ICP-MS, ICP-ES and other methods  for trace and minor elements in NTS map areas 082M, 093C/D/F/K/L/M, 094L/M, 103A, 104A/H/J/P.  The data provides the elements found in the water sample as well as the test method, the detection limit and the original source.  The data is available for download and",BC Geological Survey,XLSX,"RGS, digital data, geochemistry, geology, mineral exploration, mineral potential, regional geochemical survey, stream geochemistry, water geochemistry, water sampling",,,False,Open Government Licence - British Columbia,2023-08-29T22:10:42.135914,1,0.82
till-geochemistry-data,Till Geochemistry Data,"Till geochemistry surveys are targeted at regions of high mineral potential where glacial sediments cover and obscure the underlying bedrock. These surveys are conducted in conjunction with surficial geology mapping. British Columbia Geological Survey GeoFile 2017-09 provides the complete data set of publically available, regional-scale, till geochemical surveys. The surveys, carried out by the British Columbia Geological Survey, the Geological Survey of Canada, and Geoscience BC, compiles 39 re",BC Geological Survey,"CSV, XLSX","geochemistry, mineral exploration, regional geochemistry, till, till database, till geochemistry, till surveys",,,False,Access Only,2022-06-09T23:53:57.136300,1,0.82
till-geochemistry-surveys,Till Geochemistry Surveys,"Till geochemistry surveys are targeted at regions of high mineral potential where glacial sediments cover and obscure the underlying bedrock. These surveys are conducted in conjunction with surficial geology mapping. British Columbia Geological Survey Open File 2019-04 indexes geographically referenced, regional- and property-scale subglacial till geochemical and mineralogical surveys targeting base and precious metals in British Columbia. It also lists topical studies relevant to drift prospect",BC Geological Survey,"PDF, CSV","drift prospecting, geochemistry, mineral exploration, regional geochemistry, till, till geochemistry, till surveys",,,False,Access Only,2022-06-09T23:44:27.679914,1,0.805
lithogeochemical-database,Lithogeochemical Database,"A new database system was developed to maintain, update, and manage province-wide lithogeochemical data collected by British Columbia Geological Survey (BCGS) geoscientists and their research partners. The database, released as BCGS GeoFile 2016-04, is populated with data compiled from 214 BCGS publications released between 1986 and 2015. It includes 10,914 samples with about 250,000 determinations analyzed by 26 analytical methods in 21 laboratories. The database operates through a semi-automat",BC Geological Survey,"PDF, XLSX, CSV","assay, geochemical, lithogeochemical, lithogeochemical database, lithogeochemistry, mineral exploration, rock geochemistry, rock types",,,False,Access Only,2022-06-09T23:57:38.358940,1,0.77
surficial-geology-map-index,Surficial Geology Map Index,"Presented here is a surficial geology map index for British Columbia, which is published as BCGS Open File 2019-03. The 241 maps indexed were produced by the British Columbia Geological Survey, the Geological Survey of Canada (GSC), and Geoscience BC.  Only maps available for digital download are included.  Each map is represented by the actual map extent rather than a bounding box or NTS sheet that it falls within. The surficial geology map index can be viewed, with reports linked to the data, ",BC Geological Survey,"PDF, KMZ, CSV, ZIP","British Columbia Geological Survey, Surficial geology, areal extent, base mapping, compilation, digital download, map index",,,False,Access Only,2022-06-09T23:34:37.356012,1,0.765
tantalis-surveyed-wellsites,TANTALIS - Surveyed Wellsites,Surveyed wellsites under the Petroleum and Natural Gas Act or the Peace River Block in the Dominion Township survey system grid. Tantalis is an information system designed specifically for the needs of the complex workings of Crown Land Registry and to provide automated support for all aspects of Crown land administration. It was designed to provide a foundation for integrating spatial data associated with mapping of survey plans and administrative boundaries with attribute data associated with ,Lands Branch,"KML, WMS, MULTIPLE","CLRS, Canada, Crown Land Registry, Crown Lands, tantalis",,,False,Access Only,2026-03-22T12:46:13.785598,1,0.76
